from,to,support,confidence,lift,count
Senior Management & C-Suite,IT Infrastructure & Networks,0,0.005,1.4897,2
Project & Programme Management,Cybersecurity & Compliance,1e-04,0.0078,1.4881,101
Social Work & Community Services,Research & Academia,0,0.007,1.488,39
Customer Service & Support,Legal & Compliance,1e-04,0.0073,1.4765,74
ICT Management & Consulting,Customer Service & Support,2e-04,0.019,1.4674,124
Customer Service & Support,Sales & Business Development,5e-04,0.0416,1.4658,424
Social Work & Community Services,Project & Programme Management,2e-04,0.0255,1.4455,142
Operations & General Management,Operations & General Management,0.1348,0.4381,1.4384,110128
Customer Service & Support,Marketing & Communications,3e-04,0.0259,1.4361,264
Customer Service & Support,ICT Management & Consulting,2e-04,0.0123,1.4285,126
IT Infrastructure & Networks,"Environment, Safety & Sustainability",1e-04,0.0234,1.4172,60
"Creative, Media & Design",Social Work & Community Services,2e-04,0.0105,1.41,180
Finance & Accounting,Data Science & Analytics,1e-04,0.0029,1.4042,50
Social Work & Community Services,Human Resources & Recruitment,3e-04,0.0376,1.404,209
Senior Management & C-Suite,Public Sector & Administration,0,0.0422,1.4012,17
Sales & Business Development,Data Science & Analytics,1e-04,0.0029,1.4004,58
Research & Academia,Engineering & Manufacturing,6e-04,0.1294,1.3974,501
Human Resources & Recruitment,Finance & Accounting,8e-04,0.0319,1.3966,642
Research & Academia,Software & IT Development,1e-04,0.0152,1.3941,59
Project & Programme Management,Social Work & Community Services,2e-04,0.0103,1.3899,133
Cybersecurity & Compliance,ICT Management & Consulting,1e-04,0.0119,1.3805,47
Research & Academia,Cybersecurity & Compliance,0,0.0072,1.3742,28
Construction & Architecture,Human Resources & Recruitment,9e-04,0.0368,1.3738,733
Data Science & Analytics,Customer Service & Support,0,0.0177,1.371,26
"Banking, Finance & Insurance",Marketing & Communications,2e-04,0.0245,1.3593,183
Human Resources & Recruitment,"Banking, Finance & Insurance",3e-04,0.0128,1.3589,257
Cybersecurity & Compliance,Project & Programme Management,1e-04,0.0239,1.3517,94
Marketing & Communications,Research & Academia,1e-04,0.0063,1.3422,86
IT Infrastructure & Networks,Data Science & Analytics,0,0.0027,1.3421,7
Healthcare - Nursing & Allied,Education - Teaching,0.0054,0.1335,1.3421,4430
IT Infrastructure & Networks,"Creative, Media & Design",1e-04,0.0242,1.339,62
Social Work & Community Services,"Environment, Safety & Sustainability",2e-04,0.0221,1.337,123
Research & Academia,Education - Teaching,6e-04,0.133,1.3366,515
Legal & Compliance,Senior Management & C-Suite,0,8e-04,1.3346,3
Engineering & Manufacturing,Research & Academia,6e-04,0.0063,1.3285,495
Human Resources & Recruitment,Legal & Compliance,2e-04,0.0065,1.3261,131
Legal & Compliance,Finance & Accounting,1e-04,0.0302,1.3225,111
Project & Programme Management,Research & Academia,1e-04,0.0062,1.3162,80
Marketing & Communications,"Banking, Finance & Insurance",2e-04,0.0124,1.3135,168
"Creative, Media & Design",Data Science & Analytics,1e-04,0.0027,1.3119,46
Software & IT Development,Research & Academia,1e-04,0.0062,1.3119,52
Education - Teaching,Research & Academia,6e-04,0.0062,1.3109,493
"Banking, Finance & Insurance",Human Resources & Recruitment,3e-04,0.0348,1.3003,260
Senior Management & C-Suite,Human Resources & Recruitment,0,0.0347,1.2982,14
Public Sector & Administration,Marketing & Communications,7e-04,0.0233,1.2921,570
Legal & Compliance,Social Work & Community Services,0,0.0095,1.2851,35
Marketing & Communications,Public Sector & Administration,6e-04,0.0386,1.2823,525
Research & Academia,Marketing & Communications,1e-04,0.023,1.2754,89
"Environment, Safety & Sustainability",Social Work & Community Services,1e-04,0.0094,1.273,122
"Environment, Safety & Sustainability",Healthcare - Nursing & Allied,8e-04,0.0536,1.2664,693
Engineering & Manufacturing,Supply Chain & Logistics,0.0097,0.1003,1.266,7929
Public Sector & Administration,Data Science & Analytics,1e-04,0.0026,1.263,63
Human Resources & Recruitment,Social Work & Community Services,2e-04,0.0093,1.2536,187
"Creative, Media & Design",Education - Teaching,0.0026,0.1233,1.2393,2122
Sales & Business Development,Customer Service & Support,4e-04,0.016,1.2388,326
IT Infrastructure & Networks,Engineering & Manufacturing,4e-04,0.1145,1.2364,293
Supply Chain & Logistics,Engineering & Manufacturing,0.0087,0.1138,1.2294,7103
Marketing & Communications,Customer Service & Support,3e-04,0.0159,1.2269,216
Construction & Architecture,Cybersecurity & Compliance,2e-04,0.0064,1.2202,128
Education - Teaching,Healthcare - Nursing & Allied,0.005,0.0516,1.219,4121
ICT Management & Consulting,Marketing & Communications,2e-04,0.0219,1.2158,143
Sales & Business Development,Human Resources & Recruitment,8e-04,0.0324,1.2096,658
Legal & Compliance,Project & Programme Management,1e-04,0.0212,1.2029,78
Public Sector & Administration,Senior Management & C-Suite,0,7e-04,1.2009,18
Senior Management & C-Suite,Finance & Accounting,0,0.0273,1.1942,11
"Environment, Safety & Sustainability",Engineering & Manufacturing,0.0017,0.1103,1.1914,1425
Engineering & Manufacturing,IT Infrastructure & Networks,4e-04,0.004,1.188,313
"Creative, Media & Design",IT Infrastructure & Networks,1e-04,0.004,1.186,68
ICT Management & Consulting,"Environment, Safety & Sustainability",2e-04,0.0196,1.1857,128
Project & Programme Management,Sales & Business Development,5e-04,0.0336,1.1839,433
Data Science & Analytics,Public Sector & Administration,1e-04,0.0355,1.1791,52
"Environment, Safety & Sustainability",Construction & Architecture,4e-04,0.0282,1.1788,365
Customer Service & Support,IT Infrastructure & Networks,0,0.0039,1.1768,40
Engineering & Manufacturing,"Environment, Safety & Sustainability",0.0019,0.0194,1.176,1538
"Banking, Finance & Insurance",Project & Programme Management,2e-04,0.0207,1.1747,155
Human Resources & Recruitment,Sales & Business Development,8e-04,0.0333,1.1734,669
IT Infrastructure & Networks,Project & Programme Management,1e-04,0.0207,1.1724,53
Supply Chain & Logistics,Project & Programme Management,0.0016,0.0207,1.1722,1292
Social Work & Community Services,Legal & Compliance,0,0.0058,1.171,32
Construction & Architecture,"Environment, Safety & Sustainability",5e-04,0.0194,1.1706,386
Project & Programme Management,Supply Chain & Logistics,0.0015,0.0923,1.1657,1191
Legal & Compliance,Marketing & Communications,1e-04,0.021,1.1638,77
Project & Programme Management,"Environment, Safety & Sustainability",3e-04,0.0192,1.1624,248
Marketing & Communications,Human Resources & Recruitment,5e-04,0.031,1.1596,422
Public Sector & Administration,ICT Management & Consulting,3e-04,0.01,1.1575,245
ICT Management & Consulting,"Banking, Finance & Insurance",1e-04,0.0109,1.1565,71
Healthcare - Clinical,Human Resources & Recruitment,2e-04,0.0308,1.1508,148
Senior Management & C-Suite,ICT Management & Consulting,0,0.0099,1.1481,4
Operations & General Management,Customer Service & Support,0.0046,0.0148,1.1471,3733
Project & Programme Management,Construction & Architecture,4e-04,0.0274,1.1418,353
Construction & Architecture,Project & Programme Management,5e-04,0.0201,1.1389,401
Cybersecurity & Compliance,Legal & Compliance,0,0.0056,1.1373,22
